"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-04","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","118.3","","","","1"
"2021-05","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","119.9","","","","1"
"2021-06","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","120.7","","","","1"
"2021-07","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","121.4","","","","1"
"2021-08","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","122.9","","","","1"
"2015-08","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","96.4","","","","1"
"2015-09","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","96.4","","","","1"
"2015-10","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","96.6","","","","1"
"2015-11","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","96.7","","","","1"
"2015-12","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","96.7","","","","1"
"2016-01","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","96.7","","","","1"
"2016-02","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","96.6","","","","1"
"2016-03","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","96.6","","","","1"
"2016-04","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","96.8","","","","1"
"2016-05","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","97.1","","","","1"
"2016-06","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","97.4","","","","1"
"2016-07","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","97.6","","","","1"
"2016-08","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","97.6","","","","1"
"2016-09","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","98.1","","","","1"
"2016-10","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","99.1","","","","1"
"2016-11","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","100.0","","","","1"
"2016-12","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","100.0","","","","1"
"2017-01","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","100.9","","","","1"
"2017-02","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","102.0","","","","1"
"2017-03","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","102.5","","","","1"
"2017-04","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","104.5","","","","1"
"2017-05","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.2","","","","1"
"2017-06","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.3","","","","1"
"2017-07","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.3","","","","1"
"2017-08","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.4","","","","1"
"2017-09","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.5","","","","1"
"2017-10","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.5","","","","1"
"2017-11","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.5","","","","1"
"2017-12","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.5","","","","1"
"2018-01","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.6","","","","1"
"2018-02","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.6","","","","1"
"2018-03","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.5","","","","1"
"2018-04","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.5","","","","1"
"2018-05","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.5","","","","1"
"2018-06","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.5","","","","1"
"2018-07","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.5","","","","1"
"2018-08","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.5","","","","1"
"2018-09","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.7","","","","1"
"2018-10","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.8","","","","1"
"2018-11","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.9","","","","1"
"2018-12","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.9","","","","1"
"2019-01","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.9","","","","1"
"2019-02","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.9","","","","1"
"2019-03","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.9","","","","1"
"2019-04","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.9","","","","1"
"2019-05","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.9","","","","1"
"2019-06","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","107.0","","","","1"
"2019-07","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","106.9","","","","1"
"2019-08","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","107.0","","","","1"
"2019-09","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","107.1","","","","1"
"2019-10","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","107.2","","","","1"
"2019-11","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","107.2","","","","1"
"2019-12","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","107.2","","","","1"
"2020-01","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","107.3","","","","1"
"2020-02","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","107.3","","","","1"
"2020-03","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","107.5","","","","1"
"2020-04","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","107.5","","","","1"
"2020-05","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","107.5","","","","1"
"2020-06","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","107.7","","","","1"
"2020-07","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","108.6","","","","1"
"2020-08","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","109.0","","","","1"
"2020-09","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","109.6","","","","1"
"2020-10","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","109.9","","","","1"
"2020-11","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","110.5","","","","1"
"2020-12","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","110.8","","","","1"
"2021-01","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","111.4","","","","1"
"2021-02","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","113.9","","","","1"
"2021-03","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","114.9","","","","1"
"2021-04","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","116.3","","","","1"
"2021-05","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","116.8","","","","1"
"2021-06","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","117.1","","","","1"
"2021-07","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","117.1","","","","1"
"2021-08","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","117.8","","","","1"


